类别,专业,民族,性别,成绩1,成绩2,成绩3,成绩4,成绩5,成绩6,成绩7,成绩8,成绩9,成绩10,成绩11,成绩12,成绩13,成绩14,成绩15,成绩16,成绩17,成绩18,成绩19,成绩20,图书馆天数,奖项数,户口性质,户籍,外语,月均刷卡天数,月均消费金额,恩格尔系数,餐饮月均总额,月均早餐次数,平均每笔早餐金额,早餐金额方差,月均午餐次数,平均每笔午餐金额,午餐金额方差,月均晚餐次数,平均每笔晚餐金额,晚餐金额方差,月均宵夜次数,平均每笔宵夜金额,宵夜金额方差,月均超市次数,超市月均金额,月均水果次数,水果月均金额,月均其他次数,其他月均金额,月均洗澡次数,pos机类型数,GDP,专业-1,专业-2,专业-3,助学岗位,贫困生
0,58,3,1,0.815683842,0.372906923,-0.293904692,0.190411747,-0.361915767,-0.103650652,0.982506216,0.079196386,-0.550547242,0.144840792,-0.01763127,0.357630104,-0.436056405,-0.239540845,0.44201833,0.314771086,0.540516257,-0.117343098,-0.101085901,0.368374169,17,3,农村应届,吉林,73,7.583333333,88.19666667,0.971975509,85.725,5.083333333,3.213114754,7.18615847,7.083333333,5.436470588,11.68758263,5.25,5.858730159,19.30020481,0.083333333,1.5,0,0,0,0,0,0,0,5.25,48,1.9967,0.217391304,0.487922705,0.1352657,2130101001,0
3,58,3,1,0.77843231,0.388648361,-0.347105682,0.309366405,-0.299102336,-0.181938604,1.051104784,0.093667284,-0.436348408,0.221867621,0.035125397,0.30497852,-0.475035161,-0.118961066,0.420320809,0.371655554,0.502994061,-0.165199697,-0.241982892,0.380593657,26,7,城镇应届,陕西,88.33333333,12.41666667,228.085,0.918498951,209.4958333,14.5,1.852298851,0.993838615,16.41666667,6.36248731,20.01788409,11.33333333,6.082647059,22.11946998,0.5,1.833333333,0.166666667,2.25,7.090740741,0,0,0,0,5.083333333,55,1.8874,0.217391304,0.487922705,0.1352657,0,0
1,58,23,1,0.73342073,0.376406759,-0.266028374,0.213933632,-0.340196967,-0.258951932,0.98939997,0.111989908,-0.490278035,0.089415833,-0.100398682,0.391593337,-0.457074314,-0.299087912,0.417004973,0.364771754,0.524191499,-0.077775963,-0.096347861,0.428649694,22,4,农村应届,辽宁,77,11,96.4525,0.94159474,90.81916667,8.916666667,2.271028037,4.01339799,8.75,4.64352381,4.422307656,8.5,3.50254902,4.855286507,0.083333333,2,0,0.083333333,3,0,0,0,0,12.83333333,50,2.604,0.217391304,0.487922705,0.1352657,2130101003,2130101003
1,58,3,0,0.699276567,0.385961413,-0.309862018,0.209068328,-0.390081823,-0.250205874,0.974469006,-0.010913718,-0.388626456,0.107981488,-0.010485803,0.407261878,-0.478895992,-0.25928694,0.397161305,0.491789341,0.6343624,-0.130187556,-0.107563563,0.400724709,71,1,城镇应届,吉林,78.66666667,16.83333333,391.0033333,0.959130783,375.0233333,21.25,3.45654902,3.92553765,27.83333333,5.294011976,7.631843315,31,4.958763441,8.239691189,0,0,0,2.083333333,6.796,0,0,0,0,3.166666667,62,1.9967,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.763328731,0.371379375,-0.423273951,0.287127823,-0.359989882,-0.118434377,0.864427924,0.056088805,-0.70369792,0.145288393,0.013142942,0.399264097,-0.42167756,-0.33331278,0.430523574,0.33462128,0.486968279,0.056697302,-0.030142387,0.396414012,25,2,农村应届,湖北,69.66666667,14.16666667,230.97,0.91936543,212.3458333,7.666666667,3.035869565,8.162325609,16.25,5.804102564,9.247611948,18,5.26412037,9.431710851,0,0,0,1.916666667,8.970869565,0,0,0,0,2.416666667,72,2.1787,0.217391304,0.487922705,0.1352657,0,2130101005
2,58,3,0,0.66158241,0.480944246,-0.598243237,0.260107696,-0.327821076,-0.266370207,0.955168724,0.028092274,-0.453458637,0.195183828,0.088878267,0.444753677,-0.341373056,-0.305186182,0.420906812,0.493770808,0.513329685,-0.022003276,-0.104087517,0.283405453,9,2,城镇应届,浙江,72.5,16.16666667,285.66,0.956043315,273.1033333,12.25,2.188435374,1.671714658,21.41666667,5.208715953,8.805465142,27.33333333,4.929573171,15.5716989,0,0,0,1.5,6.272222222,0,0,0,0,9.5,65,3.8529,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.699579,0.414108336,-0.272126377,0.188313261,-0.406566739,-0.27676937,0.891597927,0.035712492,-0.492589831,0.073269948,-0.033127204,0.379987627,-0.482297689,-0.394539028,0.387633234,0.481689841,0.566311538,-0.139878944,-0.046397835,0.399906307,8,7,农村往届,河南,76.25,20.08333333,437.19,0.92367163,403.82,16.16666667,2.689948454,2.911206733,32.08333333,5.836623377,8.195303673,29.25,5.917065527,6.20421165,0,0,0,2.75,9.323030303,0,0,0,0,36.16666667,49,1.8443,0.217391304,0.487922705,0.1352657,2130101007,2130101007
3,58,3,0,0.794371605,0.415071756,-0.362568259,0.252074718,-0.39545235,-0.077151515,0.948934436,0.109813809,-0.536739469,0.178017586,0.078104265,0.334366143,-0.399581194,-0.25794363,0.477054358,0.326233149,0.507776201,-0.046189185,-0.091996558,0.327336788,4,0,城镇应届,台湾,64.33333333,17.58333333,276.545,0.949724879,262.6416667,14.25,2.773918129,5.584419264,20.58333333,5.086072874,8.719998743,21.91666667,5.403422053,8.264780611,0,0,0,0.666666667,7.95,0,0,0,0,21.66666667,49,14.5356,0.217391304,0.487922705,0.1352657,0,0
2,58,3,0,0.69502151,0.459852695,-0.468185663,0.285494804,-0.384460866,-0.228938639,0.946085155,0.074628435,-0.535810053,0.173091784,0.03989144,0.32074669,-0.366844386,-0.320277572,0.39143917,0.467207551,0.458393365,-0.047916099,-0.043751694,0.331476867,25,5,城镇应届,浙江,79.66666667,18.83333333,273.9483333,0.945251234,258.95,8.333333333,2.255,3.29219697,21.41666667,6.072412451,14.12577931,20.16666667,5.459876033,10.80055808,0,0,0,1.083333333,4.630769231,0,0,0,0,16.83333333,58,3.8529,0.217391304,0.487922705,0.1352657,0,0
0,58,3,0,0.768266678,0.401334018,-0.42087695,0.20404461,-0.334783942,-0.009512182,0.858250618,-0.029842334,-0.559028029,0.197215363,0.123486109,0.392898858,-0.486268371,-0.344375998,0.471715927,0.400767118,0.630762041,-0.050577991,-0.094015017,0.346158266,4,1,城镇应届,上海,70,14.75,169.9058333,0.835143977,141.8958333,4.75,2.743859649,3.117863409,11.33333333,5.022867647,13.67029172,12.91666667,5.475096774,13.34904074,0.25,3.5,4.75,1.833333333,12.13545455,0,0,0,0,22.91666667,52,5.4305,0.217391304,0.487922705,0.1352657,2130101010,0
